,summary_gpt,summary_t5,summary_actual,index,input,
79,Researchers say that one in four of the Great Barrier Reef's corals have been bleached out.,"Australia's Great Barrier Reef is suffering the worst coral bleaching event on record, according to a new survey by a group of experts.",An extensive aerial and underwater survey has revealed that 93% of Australia's Great Barrier Reef has been affected by coral bleaching.,87,"This follows earlier warnings that the reef was experiencing its worst coral bleaching event on record.
Prof Terry Hughes from the National Coral Bleaching Taskforce told the BBC the link between bleaching and global warming was ""very well established"".
Rising water temperatures cause corals to drive out colour-giving algae.
The corals can die if conditions do not return to normal.
In pictures: Great Barrier Reef
Vinegar could help save Barrier Reef
The taskforce's survey shows that the extent of the damage is most severe in the northern section of the 2,300km (1,429 mile)-long reef, which lies off the coast of Queensland state.
Only 7% of the reef showed no signs of bleaching, Prof Hughes said.
The effects of El Nino, as well as climate change, are being blamed for the rise in sea temperatures that causes the bleaching.
More than 900 individual reefs were surveyed using a light plane and a helicopter, with the accuracy of the aerial survey then checked by teams of scuba divers.
""I'm inherently an optimist, but I think we have a rapidly narrowing window of opportunity to save the Great Barrier Reef,"" Prof Hughes said.
""If we don't take action on global warming it will become more degraded.
""After three bleaching events the mix of coral species has already changed.""
This bleaching event is far more severe than previous bleaching events recorded in 2002 and 1998, he said.
""We know that this time only 7% of the reef didn't bleach. It was closer to 40% in the other two events.
""If these events start coming as frequently as every five to 10 years there will not be sufficient coral regeneration,"" he said.
Tourism to the Great Barrier Reef generates $A5bn ($3.9b, Â£2.7bn) each year and employs around 70,000 people, the National Coral Bleaching Taskforce said.
""Thankfully many parts of the reef are still in excellent shape,"" said Daniel Gschwind, chief executive of the Queensland Tourism Industry Council in a statement.
""But we can't just ignore coral bleaching and hope for a swift recovery.""
The current worldwide bleaching event, which is also affecting reefs on Australia's north-west coast, is predicted to be the worst on record.
The Australian Department of Environment previously said that state and federal governments were investing a projected A$2bn over the next decade to protect the reef.",An extensive aerial and underwater survey has revealed that 93% of Australia's Great Barrier Reef has been affected by coral bleaching.
80,"United have completed the signing of teenage defender Diego Flores from Colombian side Penarol, BBC South America sports presenter David O Connor reports.",Manchester United have signed Penarol defender Luis Varela on a five-year deal after signing a two-year contract with the club.,Manchester United have completed the signing Uruguayan right-back Guillermo Varela from Atletico Penarol for an undisclosed fee.,88,"Varela, 20, had a trial at Old Trafford last season and is David Moyes's first signing as Manchester United manager.
The defender has made one appearance for Penarol but has nine caps for Uruguay's Under-20 side.
""I'm very pleased to be a part of this club, one of the best in the world,"" he said after signing a five-year deal.
""As everyone in the world knows, this is a huge club that has won everything and I really hope that continues.""
Varela is taking part in the Under-20 World Championships, which runs from 21 June to 13 July, in Turkey.
Last week, Penarol head coach Jorge Da Silva, who is reported to have since resigned, said he believed the youngster has earned the move.
Da Silva said: ""This is what he deserves. It is a shame to see him go but you can't deny him the opportunity to join a club like this.""
Rafael was United's regular right-back last season, with Phil Jones and Chris Smalling also featuring in the role.",Manchester United have completed the signing Uruguayan right-back Guillermo Varela from Atletico Penarol for an undisclosed fee.
81,"The trial of the masterminds of the Bombay and Mumbai terror attacks has ended, with the majority of the 47 men convicted of the brutal killings acquitted.","Mumbai has been sentenced to life in prison for the 2006 Mumbai train bombings, which killed 189 people and injured more than 800 others.",A court in India's western Mumbai city has found 12 men guilty for their roles in the 2006 bombings of commuter trains.,90,"The 12 men were accused of waging war against the nation, conspiracy and murder. One man was acquitted.
The serial bombings on 11 July 2006 killed 189 people and injured more than 800.
The attack was blamed on Islamic militants backed by Pakistan, an allegation that Pakistan has denied.
Sentencing is expected to be pronounced on Monday after judge Yatin D Shinde hears arguments from the prosecutors and defence lawyers. The guilty face the death penalty or life in prison.
""Justice has been done for the people of Mumbai.  I will ask for the strictest punishment when I argue for their sentences,"" public prosecutor Raja Thakre told reporters.
During the attack, seven blasts ripped through trains in the evening rush hour.
The bombs were packed into seven pressure cookers and put in bags. The co-ordinated explosions were detonated within 15 minutes Convictions in Mumbai train blastsof each other.
The blasts took place in the areas of Matunga, Khar, Mahim, Jogeshwari, Borivali and Mira Road, with most on moving trains and two at stations.
The bombs appeared to have targeted first-class compartments, as commuters were returning home from the city's financial district.
More than 200 witnesses were examined during the eight-year-long trial, which concluded in August last year.
Prosecutors say the attack was planned by Pakistan's intelligence agency ISI, and carried out by operatives of Pakistan-based militant group Lashkar-e-Taiba with help from the Students' Islamic Movement of India, a banned Indian group.
Pakistan had rejected the allegations and said India had given no evidence of Pakistani involvement in the attacks.
Mumbai's suburban train system is one of the busiest in the world, carrying more than eight million commuters a day.
Convictions in Mumbai train blasts
Reporting by Menaka Rao",A court in India's western Mumbai city has found 12 men guilty for their roles in the 2006 bombings of commuter trains.
82,"Almost four out of ten Scottish adults admit going ""off the beaten track"" when it comes to eating sweets and sweets-sweetened drinks, research suggests.","More than a third of Scots eat confectionery at least once a day, according to a new charity report by Cancer Research UK.","Scotland has been warned it is hurtling towards an ""epidemic of larger waistlines and increased cancer risk"" fuelled by people's love of sweet treats and fast food.",91,"A new study by Cancer Research UK found that more than a third of Scots ate confectionary at least once a day.
It warned that being overweight was the single biggest cause of preventable cancer after smoking.
The Scottish government said it was committed to tackling obesity.
Thirteen types of cancer, including bowel, breast and pancreatic, are linked to a person's weight, according to Cancer Research UK.
The charity said its research revealed that 39% of Scots consumed confectionery at least once a day and almost a fifth (18%) of Scots have a soft drink which contained sugar at least once a day.
About two-thirds (65%) of adults in Scotland and more than one quarter (28%) of children were found to be overweight or obese.
The findings, for Cancer Research UK's Scale Down Cancer campaign, were based on a YouGov survey of 3,293 UK adults, 513 in Scotland, carried out between 24 February and 8 March 2016.
Cancer Research UK is calling on the Scottish government to act to make it easier to shop healthily and improve the diets of Scots.
The charity's cancer prevention expert Professor Linda Bauld, who is based at the University of Stirling, said: ""Scotland's sweet tooth is a huge worry for the health of the nation.
""Sugar should form no more than 5% of our diet but, on average, both adults and children in Scotland consume much more than this.
""Too much sugar in our diet can lead to weight gain - which is not just linked to cancer, but also the risk of heart disease, type 2 diabetes, stroke and tooth decay.
""If left unchecked, obesity will lead to a rising tide in ill health, including cancers, and become a crippling burden on the NHS.""
The charity said foods on promotion accounted for about 40% of all expenditure on food and drink consumed at home.
It wants restrictions on supermarket multi-buy discounts on foods that are high in sugar, fat and salt to form part of measures in the expected Scottish government strategy to improve diets.
The charity said half (52%) of adults in Scotland had a ready meal once a week or more and 16% eat fast food or a takeaway at least once a week.
Prof Bauld added: ""The Scottish government can, and must, do more to make it easier to shop healthily and serve up a better future for our young people. We need urgent action now to prevent thousands of cancers in the future.""
Food Standards Scotland said it supported the charity's call for action but it cautioned that there was no ""single silver bullet"" to Scotland's obesity problem.
Its head of nutrition science and policy, Heather Peace, said: ""We all need to recognise there is a problem and everyone, including consumers, the food and drink industry, retailers, media and government has a part to play in finding a solution.""
Public Health Minister Aileen Campbell said: ""We are committed to tackling Scotland's obesity problems and will consult on our new diet and obesity strategy this year, building on our wide range of activity to make it easier for people to be more active, eat less and eat better.
""We're investing Â£12m over five years to 2017 on a range of programmes to specifically tackle the nation's poor diet, including engaging with the food and drink industry on action to offer healthier choices, rebalance promotions, and reformulate products with a focus on reducing calories, salt, fats and added sugar.""","Scotland has been warned it is hurtling towards an ""epidemic of larger waistlines and increased cancer risk"" fuelled by people's love of sweet treats and fast food."
83,"A 12-year-old girl is recovering in hospital after being stabbed in the chest at her school and her attacker had no idea ""she was actually carrying a knife"", a family member has said.","The family of a 12-year-old girl who died after being stabbed in a Wisconsin woods has paid tribute to her ""hero"" by wearing purple in her honour.",The family of a 12-year-old allegedly stabbed by two schoolmates have thanked their state governor for honouring her with a special day.,92,"Wisconsin Governor Scott Walker declared 13 August ""Purple Hearts for Healing"" Day for the unnamed girl.
In a statement, her family thanked him for honouring ""our little hero"".
She was stabbed 19 times by two girls who told police it was in ""dedication"" to Slenderman, a fictional character on the website Creepypasta.
The family has been raising money for her medical bills and several Wisconsin businesses have come forward to host fundraisers.
""The compassion and love expressed to our family by the people of Wisconsin [and from people around the world] has greatly assisted our family in this healing process,"" the family said in a statement.
""The prayers, cards, hearts, notes, financial support, and now this heartfelt proclamation truly demonstrates that through this tragedy that there is so much goodness in the world.""
One of the two accused has been deemed mentally unfit to stand trial.
Morgan Geyser, 12, and classmate Anissa Weier, 12, have been charged as adults with attempted murder and face up to 60 years in prison.
Mr Walker's proclamation includes an invitation to join him in wearing purple in the girl's honour.
""This little girl is overcoming a terrible ordeal,"" he said in a statement.
""Her strength and determination are an inspiration, and on behalf of Wisconsin, I wish her well as she continues her journey to recovery.""
According to police, the girls planned to stab the classmate during a sleepover but instead decided to commit the crime the next morning in a nearby park.
Following their arrest they told investigators about their belief in paranormal figure Slenderman and their desire to become his ""proxies"" by killing to demonstrate their loyalty, police said.
The victim was found by a cyclist after crawling from the woods with stab wounds to her arms, legs and torso.
Doctors said the knife had just missed a major artery near her heart.",The family of a 12-year-old allegedly stabbed by two schoolmates have thanked their state governor for honouring her with a special day.
84,"Former Britain's best female cyclist Laura Wilson will never be the same - her sport is not worth pursuing because of the sport's ""damaging flaws"", a leading coach has said.",A UK Athletics-licensed coach has admitted he abused the trust of a British sprinter who was banned for four years for testing positive for testosterone.,"Ex-UK Athletics coach George Skafidas has been banned from sport for life by UK Anti-Doping, which accused him of destroying Bernice Wilson's career.",93,"Greek coach Skafidas admitted nine rule violations, committed in 2011 and 2015.
""He was put into a position of trust, he abused that trust and as a result categorically destroyed a career,"" said Ukad chief executive Nicole Sapstead.
Sprinter Wilson was banned for four years in 2011 after she tested positive for testosterone and clenbuterol.
The 31-year-old tested positive for clomiphene in an out-of-competition test in February last year but her sanction was reduced to 10 months due to ""the substantial assistance"" she gave Ukad.
A UK Athletics-licensed coach, Skafidas ran a training group for young athletes in Lincolnshire, but Ukad confirmed the nine violations all related to his conduct with Wilson.","Ex-UK Athletics coach George Skafidas has been banned from sport for life by UK Anti-Doping, which accused him of destroying Bernice Wilson's career."
85,"The SNP has set out details of its first government funding commitment for the Edinburgh Trams project, which caused major cost overruns in its final stage.","First minister Nigel Salmond has called for a judge-led inquiry into the conduct of the Edinburgh trams project, citing ""significant overruns"" in terms of cost and timing.","Edinburgh's troubled tram project will be investigated by a judge-led inquiry, Scottish First Minister Alex Salmond has announced.",94,"The Scottish capital's trams began running on Saturday, after six years of disruption and cost increases.
Mr Salmond cited ""considerable public concern"" over the Â£776m project, which he said had disrupted homes and businesses in Edinburgh.
The problems included a dispute between the city council and its contractor.
The first minister stopped short of announcing a full public inquiry, raising concerns over the timescale, and instead decided on a ""non-statutory"" option.
Speaking during first minister's questions in the Scottish Parliament, Mr Salmond said: ""I am sure that everyone in Edinburgh, and indeed all over Scotland, will be delighted to see that the Edinburgh trams are fully operational and carrying passengers.
""We cannot, however, lose sight of the considerable public concern over the conduct of the project, the disruption it has caused to households and businesses in the city of Edinburgh.
""I therefore recommended to the Cabinet, and it has been decided, to establish a judge-led public inquiry into the Edinburgh trams project to establish why the project occurred significant overruns in terms of cost and timing, requiring in particular a considerable reduction in the original scope.""
He added that the government had been assured by the City of Edinburgh Council that it would fully cooperate with the inquiry.
The first minister added: ""There are lessons to be learned from the conduct of the Edinburgh trams project and I think the course of action we are proposing will be a substantial assistance in doing that.""
Mr Salmond was responding to a question from Marco Biagi, the SNP MSP for Edinburgh Central and an opponent of the city's trams, which run on an 8.7-mile route, from the New Town to Edinburgh Airport.
""All of us who opposed the trams project from the start as risky and over-engineered have been disappointed almost daily by being shown to be right,"" said Mr Biagi.
""Now that the trams are indeed rolling, if there is to be any faith from the public in future management or potential cost estimates for projects like this, we need to know for sure that these mistakes will never be repeated"".
In the decade since the first money was allocated to the project, the price has doubled, the tram network has halved and it has taken twice as long to build as originally planned.
Four years ago, a bitter dispute between Transport Edinburgh Limited, the arms-length company responsible for delivering the project, and main contractor Bilfinger Berger brought the whole project to a halt for months.","Edinburgh's troubled tram project will be investigated by a judge-led inquiry, Scottish First Minister Alex Salmond has announced."
86,Formula 1 world champion Fernando Alonso has confirmed a fan had hurt his leg when she allegedly smashed the helmet of a television reporter in Valencia for damaging a fan's helmet.,MotoGP champion Valentino Rossi has apologised after colliding with a fan in Spain's final race of the season.,A fan has threatened to press charges against Valentino Rossi following an incident in the paddock that occurred while she was taking a selfie.,95,"A video was released via social media from MotoGP's Valencia Grand Prix, appearing to show the Italian colliding with the fan while riding a motorcycle.
The nine-time world champion apologised for the incident and said that he hoped she was ok.
Rossi, 37, added it was difficult for him to move quickly around the paddock.
Fan Ana Cabanillas Vazquez told Spanish radio station COPE she would have accepted the apology if she thought it ""had been an accident"".
""Seeing the video, you can tell that it was done on purpose,"" she said.
""I have a small bruise on my leg. I'll consider pressing charges.""
Rossi finished fourth in Valencia, the final race of the MotoGP season and came second in the championship standings behind Spain's Marc Marquez.",A fan has threatened to press charges against Valentino Rossi following an incident in the paddock that occurred while she was taking a selfie.
87,Rugby player Ryan Kennedy has been named in Glasgow Warriors' squad for the Scottish Challenge Cup second round.,Edinburgh City midfielder John Kennedy has been sidelined with a shoulder injury for the rest of the season after undergoing shoulder surgery.,Edinburgh scrum-half Sean Kennedy has been ruled out for the rest of the season through injury.,96,"The 23-year-old has had surgery for what the Pro12 club describe as ""an ongoing shoulder complaint"".
Edinburgh estimate that the former Scotland Under-20 and Scotland Sevens player will be sidelined for up to six months.
Kennedy, who had loan spells with Glasgow Warriors and London Irish, is under contract until summer 2016.
His last appearance for Edinburgh came as a replacement during the 38-20 European Challenge Cup win over Bordeaux-Begles on 23 January.",Edinburgh scrum-half Sean Kennedy has been ruled out for the rest of the season through injury.
88,A controversial consultant-led maternity unit at a Cumbrian hospital is facing a safety risk unless services are moved to a more specialist unit near Carlisle.,"Midwives in North Cumbria are concerned that consultants will not be able to provide maternity services in the county, according to a trust boss.",Further doubt has been cast over the future of specialist-led maternity care at a Cumbrian hospital.,97,"A number of options are being considered to improve care in the north of the county, including removing consultant-led services from Whitehaven's West Cumberland Hospital.
The boss of North Cumbria University Hospitals NHS Trust said it does not look like Whitehaven has the ""infrastructure"" to maintain services.
Midwives have raised safety concerns.
They have warned mothers and babies ""may die"" if consultant-led maternity services are removed from Whitehaven and concentrated at Carlisle Cumberland Infirmary.
Trust chief executive Stephen Eames told BBC Cumbria: ""The options we are looking at are likely to mean there will be changes in maternity services and they're likely to mean we'll need to concentrate our expertise in our consultant staff in one place.
""Everybody involved would prefer a consultant-led service in both, but I think the reality is it isn't just about maternity, it's about the other clinical services that support it.
""So while we've made some improvements in children's services recruitment it doesn't look like we can recruit the infrastructure to support two independent consultant-led services.""
Midwives at Whitehaven are concerned mothers facing unexpected problems would need a potentially risky 40-mile (64km) transfer across the county.
Earlier this month, Bernadette Bowness said: ""We're going to become a third world area because of our inaccessibility to a consultant-led unit.
""If ladies have to be transferred, mothers may die, babies may die.
""If babies have foetal distress, what with the transfer time they may end up brain damaged.""
A public consultation exercise will be launched next month to gauge opinion on the future direction of services provided by the trust.
The organisation has been in special measures since 2014 after Care Quality Commission inspectors judged it to be failing to provide a sufficiently high level of care in a number of areas.",Further doubt has been cast over the future of specialist-led maternity care at a Cumbrian hospital.
89,Rangers midfielder Scott Lovenkrands admits the focus in recent days after finishing as runner-up and third in the Scottish Cup must be on their opponents.,Celtic striker Henrik Lovenkrands says he would not want to be the first team to beat Rangers in the Scottish Cup final.,"Ending Celtic's unbeaten domestic record should not be the focus of Rangers players on Sunday, according to former Ibrox forward Peter Lovenkrands.",98,"Celtic have not lost a domestic game this season ahead of their Scottish Cup semi-final against Rangers.
And Lovenkrands, 37, insists reaching the cup final in May should be all the motivation the Ibrox players need.
""I don't think it's anything to do with being the first team to beat them,"" the Dane said.
""With the Old Firm, you have to win. If you are playing for Rangers, you have to go and beat your rivals and Celtic will say the same.
""I don't think anybody would be looking at it from a Rangers point of view, that we want to be the first team to beat them this season.
""You need to approach every game to win it.""
Lovenkrands spent six years at Ibrox and scored twice, including a late winner, in the 3-2 Scottish Cup final win over Celtic at Hampden in 2002.
He also scored the eventual winner in the 2-1 League Cup final defeat of Celtic at the national stadium the following year.
And the former Newcastle United and Schalke player, who won 22 Denmark caps, would like to see a new Rangers hero emerge on Sunday.
""I would hope someone could come out and grab that chance,"" he explained.
""I grabbed my chance and these things happen in Old Firm games. It happens for Celtic players, like Henrik Larsson, he did fantastic scoring goals against Rangers.
""You get your chance and it is about grabbing it and hopefully someone will go and grab the headlines.""
Celtic, who have already won the Premiership title and the League Cup, are 33 points clear of Rangers in the league.
The Ibrox outfit go into Sunday's match having won three games and drawn two under new manager Pedro Caixinha.
""Anything can happen in football,"" Lovenkrands added. ""I have always said it is 50-50 in an Old Firm game.
""Celtic have won the league comfortably and deservedly so. But Rangers have stepped up in the last couple of games.
""They have changed their manager and they have changed their way of playing. I like the way they have changed and the more direct approach suits the players better, they seem to be getting the results.
""But it is all about what happens on the day, a challenge after five minutes can change the whole run of the game.""","Ending Celtic's unbeaten domestic record should not be the focus of Rangers players on Sunday, according to former Ibrox forward Peter Lovenkrands."
90,"Two off-licences in Belfast have withdrawn from the weekend rush hour, days before St Patrick's Day.",The Holylands off-licences have agreed to close for a half-day on St Patrick's Day and the day before.,"Five off-licences in Belfast's Holyland area are to close ""voluntarily"" for a number of hours on St Patrick's Day.",99,"Following discussions with the PSNI, they will close from 16:00 -21:00 GMT on 17 March.
There were a number of disturbances in the area over the St Patrick's Day holiday in 2016.
In a statement, the PSNI said that the arrangement was made ""to help keep people safe"".
Queen's University Belfast and Ulster University have also written to their students urging them not to travel to the area, or to behave responsibly if they do.
Classes at both universities have been cancelled on Wednesday 15 March and Thursday 16 March.
Both of those days have been designated as ""reading days"" for students instead.
The universities will then be closed on 17 March.
The chief executive of Hospitality Ulster, Colin Neill, welcomed the move by the off-licences.
""I have sympathy with residents,"" he said, ""who have been subjected to unacceptable behaviour on St Patrick's Day, year after year.""
""However, I also have sympathy for the local off-sales and commend them for voluntarily agreeing to close.""
'Fuelling of drink'
""I call on the supermarkets to match the actions of the local off-sales and stop deliveries of alcohol into the Holylands area on St Patrick's Day and the day before.""
Ray Farley from the Holyland regeneration association also gave the move a cautious welcome.
""It's a welcome first step and if we can get it for a half day this year we can maybe get a full day for other years,"" he said.
""It's drink that's the problem, and the fuelling of drink.""","Five off-licences in Belfast's Holyland area are to close ""voluntarily"" for a number of hours on St Patrick's Day."
91,A man armed with a knife forced his way into a Lloyds bank in south Wales before demanding money.,"A man has been arrested following a robbery at a bank in Fairwater, South Wales, police have confirmed he has been identified by CCTV footage.",A large amount of cash has been stolen in a daylight bank robbery in Cardiff.,100,"South Wales Police are investigating the robbery at Lloyds Bank on Cowbridge Road East in the Canton area of the city at 12:30 BST on Tuesday.
Officers are trying to trace a suspect captured on CCTV cameras within the bank.
The man is described as 50-60 years of age, 5ft 9ins (1.75m) to 6ft (1.82m) tall with black hair that is greying. He was wearing black clothing.
Detective Sergeant Andy Miles from Fairwater CID said: ""The CCTV is clear and I am confident that members of the public will know his identity.
""I can confirm there have been no reports of any injuries as a result of the incident.""",A large amount of cash has been stolen in a daylight bank robbery in Cardiff.
92,A man has been arrested after the death of a 55-year-old man in Derby.,A man has been charged with causing death by dangerous driving following the death of a man in a car crash in Leicestershire in May 2016.,A man has been charged nearly a year after a collision in which a motorcyclist died in Leicestershire.,102,"Christopher Williams, 25, who was living in Derby, died at the scene of the crash on the A52, in Bottesford, on 25 May 2016.
Garry Allen, 33, of Cressing Road, Braintree, Essex, was arrested at the time and has now been charged with causing death by dangerous driving.
He is due to appear at Leicester Magistrates' Court on Friday.",A man has been charged nearly a year after a collision in which a motorcyclist died in Leicestershire.
93,A former home in Battersea which was decorated with pictures of children dying has been named after a woman who put herself in danger to try to stop abuse.,"A woman who stabbed a man who had been accused of sexually abusing young children has denied murdering him, a court has heard.","A woman stabbed a suspected paedophile to death in east London before handing herself into police, a court has heard.",103,"Sarah Sands, 32, killed her 77-year-old neighbour Michael Pleasted weeks after finding out he allegedly abused three boys, the Old Bailey was told.
She told police that Mr Pleasted, who had been charged with sexual assaults on two children aged under 13, had been ""asking for trouble"".
He was killed in his Canning Town flat on 28 November. Ms Sands denies murder.
The court heard how Ms Sands armed herself with a knife after drinking two bottles of wine and a bottle of brandy.
The case's prosecutor Jonathan Ree said CCTV footage showed she was in his block of flats for 20 minutes.
Mr Pleasted, who was stabbed eight times, had been on bail awaiting trial. Police were also investigating an allegation he had abused a third boy.
Ms Sands had befriended the pensioner who was a familiar local figure and ran a bric-a-brac shop from a Mace convenience store, the court heard.
She used to visit him at his flat and bring him meals before she became aware of the abuse allegations.
After the stabbing, Ms Sands went to the Isle of Dogs, putting the knife and clothes she had been wearing in a carrier bag.
Before deciding to hand herself in, she told a family friend: ""I stabbed him"".
During a police interview, she said she had tried to help him, while all the while he was abusing young children.
She later said in a statement that she denied intending to kill Mr Pleasted or cause him serious bodily harm, claiming she went to confront him and took a knife for protection as she was scared.
The trial continues.","A woman stabbed a suspected paedophile to death in east London before handing herself into police, a court has heard."
94,An independent Australian government agency has said it did not exercise control over Australia's immigration detention system before releasing shocking new research into conditions at a local detention centre.,"Australia should investigate allegations of rape and assault at the hands of asylum seekers, human rights groups have said in a report released by Human Rights Watch.","Australia's government has ""strongly"" refuted claims it deliberately ignores abuse of asylum seekers.",104,"Human Rights Watch and Amnesty International released a report criticising conditions at a detention centre on the island of Nauru.
The report concluded that Australia must intentionally allow abuse of detainees to deter asylum seekers.
A statement from the Immigration Department criticised Amnesty for not consulting the government.
""There was no consultation with the Department of Immigration and Border Protection from Amnesty International in preparation of this report,"" the statement said.
""We strongly refute many of the allegations in the report and would encourage Amnesty International to contact the Department before airing allegations of this kind.""
The statement said Australia did not exert control over the laws of Nauru, a sovereign country. It said the Australian government welcomed independent scrutiny of its facilities.
Australia transports asylum seekers who arrive by boat to off-shore processing centres in Nauru and Papua New Guinea.
Read more: Why are asylum seekers so controversial in Australia?
The Amnesty International and Human Rights Watch report was written after an incognito visit to Nauru last month. The organisations said Australia's actions seemed designed to discourage other migrants from attempting to get to Australia.
No documentary evidence was provided in the report to support the claim.
But interviews with 84 refugees and asylum seekers unearthed claims of rape and assault at the hand of Nauruan locals, inadequate medical care and cramped, uncomfortable living conditions.
The detention centre at Nauru is run by a company called Broadspectrum and medical services are provided by International Health and Medical Services. Both companies have a contract with the Australian government.
One woman quoted in the report said she had married a man 15 years her senior in order to feel safe on the island. Another said Nauruan men had driven her into the jungle with the intent of raping her.
Although most held on the island have been identified as genuine refugees and released into the community, many felt afraid to leave their accommodations, particularly at night, the report said.
The report also alleged that Nauruan police tended to downplay or ignore asylum seekers' reports of abuse.","Australia's government has ""strongly"" refuted claims it deliberately ignores abuse of asylum seekers."
95,Tories promise NHS cuts and Labour promises stronger rural health and community.,"The Welsh Conservative Party has defended its decision to campaign on the NHS in Wales, saying it is a ""real dilemma"" for voters in May.","Labour has been ""slashing"" the NHS budget in Wales, the Welsh Conservatives have said, leading to ""devastatingly long waiting lists"".",105,"Assembly Tory leader Andrew RT Davies said although devolved, health was one of the main election issues for voters.
""Wherever you go across Wales people raise the issue of the NHS, and Labour are running the NHS in Wales,"" he said.
Labour responded saying that Tory sums on the NHS ""simply don't add up"".
Mr Davies said Welsh Conservatives would protect health spending and introduce a cancer drugs fund.
He defended his party's decision to campaign on an area of policy that was not controlled in Wales by Westminster.
""(Labour leader) Ed Miliband has used the example of 'compare and contrast', and I think it is perfectly reasonable to point out we don't have a cancer drugs fund here in Wales and some of the most disappointing ambulance response times on record,"" he said.
""There is a real dilemma for voters in May. Do they want to vote for the Conservative party who want to protect health spending or do they endorse a party who have drastically cut health provision in Wales?""
But Welsh Labour's Deputy Health Minister Vaughan Gething accused the Conservatives of wanting to privatise the NHS.
""The Tories have had three opportunities in the campaign so far to rule out privatising the NHS and they have refused to do so"" he said.
He added: ""This election is a clear choice between a Labour government that would invest in the NHS to train an extra 1000 doctors, nurses and front-line staff, or a Tory government that would introduce a tablet tax for sick people and privatise health services.""
Elsewhere on the campaign trail on Monday, Welsh Lib Dem leader Kirsty Williams was promising better rural health care while visiting target seats in mid Wales.
Ms Williams said her party wanted to invest in cottage hospitals and community care.
""An urgent care centre in Montgomeryshire is essential if we are to relieve pressure on A&E departments and cut waiting times,"" she said.
Plaid Cymru accused its rivals of neglecting the economy of north Wales.
Party leader Leanne Wood said: ""Every community has a stake in making our country a success and it is time the north of Wales got the investment and vision it deserves from governments in Cardiff and London.""
UKIP's leader in Wales Nathan Gill was campaigning in Brecon and Radnorshire.
Meanwhile Labour has promised more powers for Wales over transport, energy and assembly elections in its manifesto launched in Manchester on Monday.","Labour has been ""slashing"" the NHS budget in Wales, the Welsh Conservatives have said, leading to ""devastatingly long waiting lists""."
96,"The ""world's highest beach hut price"" fetched Â£104,500 at an auction in the Vale of Glamorgan.","The highest price ever paid for a beach hut in Abersoch, Cheshire, has been set by auction house Beresford Adams Auctions.","A dilapidated beach hut on a north Wales beach has sold at auction for an eye-watering £153,000.",106,"The wooden building is at Abersoch on the Llŷn Peninsula in Gwynedd.
Measuring just 13ft by 9ft, it has no electricity or water - and you are banned from sleeping in it overnight.
For the same price just a few miles away you could snap-up a two-bedroom house in the village of Llanbedrog - or even a seven-bedroom terraced house at Tywyn across Cardigan Bay.
""It's certainly the highest price ever achieved for a beach hut in Abersoch,"" remarked Tony Webber, auction surveyor at Beresford Adams Countrywide Auctions.
""It's quite incredible. We had two very determined bidders, both from the Cheshire area, who were bidding separately. They were very determined to buy it.""
The auctioneers said the hut is ""in need of some TLC"" - but does include part of the beach in front of the hut into the sea.
The previous record for the beach huts on the Abersoch sands was £70,000 in 2008.","A dilapidated beach hut on a north Wales beach has sold at auction for an eye-watering £153,000."
97,"Manchester United midfielder Bastian Schweinsteimer has been suspended for 10 weeks, as revealed by his club's website.","Third-party websites are not endorsed by Fifa or the EA Sports Board of Governors, according to the BBC's Chris Foxx.",Two men who ran a betting website connected to the Fifa video game have pleaded guilty to offences under the UK's Gambling Act.,107,"6 February 2017 Last updated at 14:54 GMT
The third-party websites are not endorsed by Fifa or the video game publisher EA Sports.
The BBC's Chris Foxx explains how it worked.",Two men who ran a betting website connected to the Fifa video game have pleaded guilty to offences under the UK's Gambling Act.
98,"Railings for an ""anarchist"" squat are being painted over and replaced with smaller ones marking where residents in West Mall have parked.","A council has said it would seek permission to put up signs in two conservation areas which contain listed buildings if they were put up in a ""special architectural or historic interest"".","English Heritage has told Bristol City Council it would be ""prudent"" to apply for listed building consent for some of its parking signs.",108,"Earlier this year, signs for the Clifton Village residents' parking zone appeared but some were fixed to railings which are Grade II* listed.
It prompted complaints that the signs were spoiling a conservation area.
The council said it used railings as much as possible to minimise posts in the pavement.
It said it ""met regularly"" with English Heritage to talk about listed building work and legislation.
The council said when signs were put up in the Kingsdown conservation area it was advised as long as it was not making ""significant or permanent changes to a building, which would alter its character, it was acceptable"".
English Heritage's letter, seen by the BBC, raised the ""potential cumulative impact"" of the signs in West Mall and Caledonia Place, which contains listed buildings.
""We would suggest that taken together such work might fall within Section 7 of the [Planning and Listed Buildings and Conservation 1990] Act,"" it said.
""In our view, it would be prudent to seek a listed building consent... to allow for a careful consideration of the impact of the works on the special interest of the terrace, of the number of signs and the consideration of alternative locations.""
Numbers one to 31 Caledonia Place and their attached basement railings are Grade II* listed by English Heritage for their ""special architectural or historic interest"".","English Heritage has told Bristol City Council it would be ""prudent"" to apply for listed building consent for some of its parking signs."
